Tables A.5, B.7, and B.8. The X-ray efficiency ([cm^2 sec]^{−1} [keV/u]^{−1}) of outgoing photons as a function of initial ion energy including opacity effects.  No opacity effects and the viewing angles of 0°, 80°, and 90° are displayed for atmosphere 1. The efficiency shown here is that solely from direct excitation collisions for both oxygen and sulfur.  We also include the X-ray efficiencies that correspond to the JEDI energy bins at the time of writing.

 Viewing Angle:    0.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
       46.65           0.00000    0.00000    0.00000    0.00000        28.09           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       50.00           0.00000    0.00000    0.00000    0.00000        29.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       52.81           0.00000    0.00000    0.00000    0.00000        31.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       56.18           0.00000    0.00000    0.00000    0.00000        34.03           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       59.77           0.00000    0.00000    0.00000    0.00000        36.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       63.78           0.00000    0.00000    0.00000    0.00000        38.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       68.07           0.00000    0.00000    0.00000    0.00000        43.29           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       72.64           0.00000    0.00000    0.00000    0.00000        48.35           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       75.00           0.00000    0.00000    0.00000    0.00000        50.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       77.52           0.00000    0.00000    0.00000    0.00000        54.01           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       86.59           0.00001    0.00001    0.00001    0.00000        60.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       96.71           0.00002    0.00002    0.00002    0.00000        69.95           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      108.02           0.00005    0.00005    0.00005    0.00000        75.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      100.00           0.00003    0.00003    0.00003    0.00000        81.11           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      120.65           0.00014    0.00014    0.00014    0.00000        94.05           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      125.00           0.00020    0.00020    0.00020    0.00000       100.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      139.90           0.00052    0.00052    0.00052    0.00000       109.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      150.00           0.00098    0.00098    0.00097    0.00000       125.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      162.22           0.00174    0.00174    0.00173    0.00001       131.16           0.00001    0.00001    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      175.00           0.00315    0.00313    0.00311    0.00002       150.00           0.00002    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      188.11           0.00512    0.00508    0.00504    0.00004       157.73           0.00004    0.00004    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      200.00           0.00758    0.00747    0.00740    0.00007       175.00           0.00012    0.00012    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      218.12           0.01271    0.01247    0.01230    0.00017       189.69           0.00027    0.00026    0.00001    0.00000    0.00000    0.00000    0.00000    0.00000
      250.00           0.02504    0.02462    0.02408    0.00054       200.00           0.00053    0.00050    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000
      262.32           0.03175    0.03014    0.02937    0.00077       228.12           0.00185    0.00172    0.00012    0.00001    0.00000    0.00000    0.00000    0.00000
      300.00           0.05258    0.04932    0.04741    0.00192       250.00           0.00391    0.00358    0.00031    0.00002    0.00000    0.00000    0.00000    0.00000
      315.47           0.07222    0.05802    0.05537    0.00265       300.00           0.01493    0.01267    0.00196    0.00024    0.00004    0.00001    0.00001    0.00000
      350.00           0.11484    0.07687    0.07195    0.00492       350.00           0.03797    0.02877    0.00727    0.00141    0.00036    0.00009    0.00007    0.00000
      379.38           0.17070    0.09237    0.08478    0.00759       400.00           0.07429    0.04675    0.01867    0.00546    0.00189    0.00074    0.00077    0.00000
      400.00           0.23792    0.10245    0.09252    0.00994       450.00           0.12041    0.05721    0.03341    0.01411    0.00674    0.00373    0.00521    0.00000
      450.00           0.31442    0.12270    0.10580    0.01690       500.00           0.17255    0.05483    0.04355    0.02498    0.01562    0.01200    0.02156    0.00000
      456.25           0.46039    0.12524    0.10727    0.01798       600.00           0.25485    0.03238    0.03846    0.03223    0.02923    0.03473    0.08782    0.00000
      500.00           0.52835    0.13759    0.11202    0.02556       700.00           0.27912    0.01558    0.02249    0.02341    0.02754    0.04456    0.14553    0.00000
      600.00           0.48924    0.14795    0.10395    0.04400       800.00           0.25597    0.00787    0.01159    0.01337    0.01911    0.03965    0.16435    0.00001
      700.00           0.40446    0.13765    0.08060    0.05705       900.00           0.20752    0.00463    0.00614    0.00715    0.01129    0.02864    0.14966    0.00001
      800.00           0.30900    0.11730    0.05622    0.06109      1000.00           0.15336    0.00307    0.00371    0.00406    0.00634    0.01796    0.11821    0.00001
      900.00           0.18352    0.09456    0.03734    0.05722      1250.00           0.06405    0.00156    0.00164    0.00160    0.00214    0.00546    0.05164    0.00001
     1000.00           0.11914    0.07425    0.02481    0.04944      1500.00           0.02993    0.00097    0.00097    0.00095    0.00112    0.00240    0.02350    0.00001
     1250.00           0.06149    0.03920    0.00968    0.02952      1750.00           0.01593    0.00070    0.00067    0.00063    0.00074    0.00137    0.01180    0.00001
     1500.00           0.03352    0.02091    0.00434    0.01657      2000.00           0.00946    0.00055    0.00050    0.00047    0.00055    0.00088    0.00649    0.00001
     1750.00           0.01172    0.01172    0.00233    0.00939         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     2000.00           0.00687    0.00687    0.00138    0.00550         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     5000.00           0.00040    0.00040    0.00015    0.00025         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    10000.00           0.00013    0.00013    0.00006    0.00007         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    25000.00           0.00005    0.00005    0.00003    0.00003         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000

 No opacity effects
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
